Contributors with >10,000 CPU hours as of January 7, 2020
Thank you!

Username                  CPU Hours   Games played
--------------------------------------------------
noobpwnftw                  9305707      695548021
mlang                        780050       61648867
dew                          621626       43921547
mibere                       524702       42238645
crunchy                      354587       27344275
cw                           354495       27274181
fastgm                       332801       22804359
JojoM                        295750       20437451
CSU_Dynasty                  262015       21828122
Fisherman                    232181       18939229
ctoks                        218866       17622052
glinscott                    201989       13780820
tvijlbrief                   201204       15337115
velislav                     188630       14348485
gvreuls                      187164       15149976
bking_US                     180289       11876016
nordlandia                   172076       13467830
leszek                       157152       11443978
Thanar                       148021       12365359
spams                        141975       10319326
drabel                       138073       11121749
vdv                          137850        9394330
mgrabiak                     133578       10454324
TueRens                      132485       10878471
bcross                       129683       11557084
marrco                       126078        9356740
sqrt2                        125830        9724586
robal                        122873        9593418
vdbergh                      120766        8926915
malala                       115926        8002293
CoffeeOne                    114241        5004100
dsmith                       113189        7570238
BrunoBanani                  104644        7436849
Data                          92328        8220352
mhoram                        89333        6695109
davar                         87924        7009424
xoto                          81094        6869316
ElbertoOne                    80899        7023771
grandphish2                   78067        6160199
brabos                        77212        6186135
psk                           75733        5984901
BRAVONE                       73875        5054681
sunu                          70771        5597972
sterni1971                    70605        5590573
MaZePallas                    66886        5188978
Vizvezdenec                   63708        4967313
nssy                          63462        5259388
jromang                       61634        4940891
teddybaer                     61231        5407666
Pking_cda                     60099        5293873
solarlight                    57469        5028306
dv8silencer                   56913        3883992
tinker                        54936        4086118
renouve                       49732        3501516
Freja                         49543        3733019
robnjr                        46972        4053117
rap                           46563        3219146
Bobo1239                      46036        3817196
ttruscott                     45304        3649765
racerschmacer                 44881        3975413
finfish                       44764        3370515
eva42                         41783        3599691
biffhero                      40263        3111352
bigpen0r                      39817        3291647
mhunt                         38871        2691355
ronaldjerum                   38820        3240695
Antihistamine                 38785        2761312
pb00067                       38038        3086320
speedycpu                     37591        3003273
rkl                           37207        3289580
VoyagerOne                    37050        3441673
jbwiebe                       35320        2805433
cuistot                       34191        2146279
homyur                        33927        2850481
manap                         32873        2327384
gri                           32538        2515779
oryx                          31267        2899051
EthanOConnor                  30959        2090311
SC                            30832        2730764
csnodgrass                    29505        2688994
jmdana                        29458        2205261
strelock                      28219        2067805
jkiiski                       27832        1904470
Pyafue                        27533        1902349
Garf                          27515        2747562
eastorwest                    27421        2317535
slakovv                       26903        2021889
Prcuvu                        24835        2170122
anst                          24714        2190091
hyperbolic.tom                24319        2017394
Patrick_G                     23687        1801617
Sharaf_DG                     22896        1786697
nabildanial                   22195        1519409
chriswk                       21931        1868317
achambord                     21665        1767323
Zirie                         20887        1472937
team-oh                       20217        1636708
Isidor                        20096        1680691
ncfish1                       19931        1520927
nesoneg                       19875        1463031
Spprtr                        19853        1548165
JanErik                       19849        1703875
agg177                        19478        1395014
SFTUser                       19231        1567999
xor12                         19017        1680165
sg4032                        18431        1641865
rstoesser                     18118        1293588
MazeOfGalious                 17917        1629593
j3corre                       17743         941444
cisco2015                     17725        1690126
ianh2105                      17706        1632562
dex                           17678        1467203
jundery                       17194        1115855
iisiraider                    17019        1101015
horst.prack                   17012        1465656
Adrian.Schmidt123             16563        1281436
purplefishies                 16342        1092533
wei                           16274        1745989
ville                         16144        1384026
eudhan                        15712        1283717
OuaisBla                      15581         972000
DragonLord                    15559        1162790
dju                           14716         875569
chris                         14479        1487385
0xB00B1ES                     14079        1001120
OssumOpossum                  13776        1007129
enedene                       13460         905279
bpfliegel                     13346         884523
Ente                          13198        1156722
IgorLeMasson                  13087        1147232
jpulman                       13000         870599
ako027ako                     12775        1173203
Nikolay.IT                    12352        1068349
Andrew Grant                  12327         895539
joster                        12008         950160
AdrianSA                      11996         804972
Nesa92                        11455        1111993
fatmurphy                     11345         853210
Dark_wizzie                   11108        1007152
modolief                      10869         896470
mschmidt                      10757         803401
infinity                      10594         727027
mabichito                     10524         749391
Thomas A. Anderson            10474         732094
thijsk                        10431         719357
Flopzee                       10339         894821
crocogoat                     10104        1013854
SapphireBrand                 10104         969604
stocky                        10017         699440
