Contributors with >10,000 CPU hours as of January 23, 2018
Thank you!

Username         CPU Hours    Games played 
mibere           518300       41835669    
crunchy          375564       29121434    
cw               371664       28748719    
fastgm           299773       20765374    
JojoM            220590       15299913    
glinscott        204517       13932027    
bking_US         187568       12233168    
ctoks            169342       13475495    
spams            149531       10940322    
Thanar           137015       11714855    
velislav         127305       10047749    
vdbergh          121741       9056874     
malala           117291       8126488     
vdv              117218       8289983     
leszek           114825       8331897     
dsmith           114010       7622414     
CSU_Dynasty      113516       9582758     
sqrt2            112407       8782694     
marrco           111143       8222921     
drabel           108168       9061580     
BrunoBanani      104938       7448565     
Data             94621        8433010     
CoffeeOne        90394        3964243     
BRAVONE          80811        5341681     
psk              77195        6156031     
brabos           70284        5685893     
Fisherman        66650        5572406     
nssy             64587        5369140     
Pking_cda        64499        5704075     
sterni1971       63488        5070004     
mgrabiak         62385        5420812     
tvijlbrief       58957        4154234     
jromang          58854        4704502     
dv8silencer      57421        3961325     
sunu             56620        4609155     
tinker           56039        4204914     
biffhero         55743        4810039     
teddybaer        52982        4740444     
bcross           50548        5071599     
renouve          50318        3544864     
Freja            50296        3805120     
robnjr           47504        4131742     
eva42            46542        4044694     
davar            46538        4030604     
finfish          46244        3481661     
rap              46201        3219490     
ttruscott        45037        3645430     
solarlight       44155        4074841     
TueRens          41372        3891510     
ElbertoOne       41321        3920894     
Antihistamine    39218        2792761     
mhunt            38991        2697512     
bigpen0r         37820        3149955     
homyur           35569        3009637     
VoyagerOne       35137        3302650     
mhoram           34770        2684128     
racerschmacer    33022        3231055     
speedycpu        32043        2531964     
EthanOConnor     31638        2143255     
oryx             29574        2767730     
Pyafue           28885        1986098     
jkiiski          28014        1923255     
Garf             27579        2770144     
slakovv          27017        2031279     
Bobo1239         27000        2488707     
pb00067          26817        2306694     
robal            26337        2316795     
hyperbolic.tom   26248        2200777     
rkl              24898        2236013     
SC               23988        2126825     
nabildanial      23524        1586321     
achambord        23495        1942546     
Sharaf_DG        22975        1790697     
chriswk          22876        1947731     
anst             22568        2013953     
Patrick_G        22435        1682293     
cuistot          22201        1383031     
gri              21901        1820968     
Prcuvu           21182        1890546     
Zirie            21171        1493227     
JanErik          20596        1791991     
Isidor           20560        1730290     
xor12            20535        1819280     
team-oh          20364        1653708     
nesoneg          20264        1493435     
rstoesser        19802        1335177     
grandphish2      19402        1834196     
sg4032           18427        1671742     
dew              18263        1423326     
ianh2105         18133        1668562     
MazeOfGalious    18022        1644593     
ville            17900        1539130     
j3corre          17607        975954      
eudhan           17502        1424648     
iisiraider       17175        1118788     
jundery          17172        1115855     
SFTUser          16635        1363975     
purplefishies    16621        1106850     
DragonLord       16599        1252348     
chris            15274        1575333     
xoto             14900        1486261     
dju              14861        901552      
dex              14647        1228763     
nordlandia       14551        1369718     
ronaldjerum      14361        1210607     
OssumOpossum     14149        1029265     
IgorLeMasson     13844        1228391     
enedene          13762        935618      
ako027ako        13442        1250249     
AdrianSA         13324        924980      
bpfliegel        13318        886523      
ncfish1          13056        932344      
wei              12863        1369596     
jpulman          12776        854815      
horst.prack      12436        1151505     
joster           12424        986622      
cisco2015        12265        1205019     
fatmurphy        12015        901134      
modolief         11228        926456      
Dark_wizzie      11214        1017910     
mschmidt         10973        818594      
eastorwest       10970        1117836     
infinity         10762        746397      
SapphireBrand    10692        1024604     
Thomas A.        10553        736094      
pgontarz         10294        878746      
Andrew Grant     10195        922933      
stocky           10083        718114      
